"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"300","n","Matrix and/or take number [Sound recordings, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","Matrix and/or take number [Sound recordings, pre-AACR2 records only] [OBSOLETE, CAN/MARC]","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"500","3","Spezifische Materialangaben","Spezifische Materialangaben","0","0","0","","0","","","","","0","FA","","","","9999","0"
"500","5","Das Unterfeld gibt die Institution an, auf die sich das Feld bezieht","Das Unterfeld gibt die Institution an, auf die sich das Feld bezieht","0","0","0","","0","","","","","0","FA","","","","9999","0"
"500","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","","0","FA","","","","9999","0"
"500","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","","0","FA","","","","9999","0"
"500","a","Allgemeine Fußnote","Allgemeine Fußnote","0","0","0","biblio.notes","0","","","","","0","FA","","","","9999","0"
"500","l","Library of Congress call number (SE) [OBSOLETE]","Library of Congress call number (SE) [OBSOLETE]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"500","n","n (RLIN) [OBSOLETE]","n (RLIN) [OBSOLETE]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"500","x","Internationale Standardseriennummer (SE) [OBSOLETE]","Internationale Standardseriennummer (SE) [OBSOLETE]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"500","z","Source of note information (AM SE) [OBSOLETE]","Source of note information (AM SE) [OBSOLETE]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"942","0","Koha-Ausleihen, alle Exemplare","Koha-Ausleihen, alle Exemplare","0","0","0","biblioitems.totalissues","0","","","","","5","FA","","","","9999","0"
"942","2","Klassifikation oder Aufstellungssystematik","Klassifikation oder Aufstellungssystematik","0","0","0","biblioitems.cn_source","0","cn_source","","","","0","FA","","","","9999","0"
"942","6","Normalisierte Klassifikation für Sortierung (Koha)","Normalisierte Klassifikation für Sortierung (Koha)","0","0","0","biblioitems.cn_sort","0","","","","0","7","FA","","","","9999","0"
"942","a","Institutionscode [OBSOLETE]","Institutionscode [OBSOLETE]","0","0","0","","0","","","","","-5","FA","","","","9999","0"
"942","c","Koha-Medientyp","Koha-Medientyp","0","1","0","biblioitems.itemtype","0","itemtypes","","","","5","FA","","","","9999","0"
"942","e","Ausgabe","Ausgabe","0","0","0","","0","","","","","0","FA","","","","9999","0"
"942","h","Klassifikationsteil","Klassifikationsteil","0","0","0","biblioitems.cn_class","0","","","","","0","FA","","","","9999","0"
"942","i","Exemplarteil","Exemplarteil","1","0","0","biblioitems.cn_item","0","","","","","0","FA","","","","9999","0"
"942","k","Signatur-Präfix","Signatur-Präfix","0","0","0","biblioitems.cn_prefix","0","","","","","0","FA","","","","9999","0"
"942","m","Signatur-Suffix","Signatur-Suffix","0","0","0","biblioitems.cn_suffix","0","","","","0","0","FA","","","","9999","0"
"942","n","OPAC-Anzeige unterdrücken","OPAC-Anzeige unterdrücken","0","0","0","","0","YES_NO","","","0","5","FA","","","0","9999","0"
"942","s","Kennzeichen für Zeitschrift","Kennzeichen für Zeitschrift","0","0","0","biblio.serial","0","","","","","5","FA","","","","9999","0"
"952","0","Ausgeschieden","Ausgeschieden","0","0","0","items.withdrawn","10","WITHDRAWN","","","0","0","FA","","","","9999","0"
"952","1","Verloren","Verloren","0","0","0","items.itemlost","10","LOST","","","0","0","FA","","","","9999","0"
